transaction_id,transaction_date,product_id,warehouse_id,supplier_id,transaction_type,quantity,unit_price,data_issue
TXN00001,2023-01-01,PRD001,WH001,SUP001,Purchase,1245,18.26,0
TXN00004,2023-01-01,PRD001,WH001,SUP001,Purchase,830,17.41,0
TXN00285,2023-01-01,PRD002,WH002,SUP001,Purchase,809,31.63,0
TXN00298,2023-01-01,PRD002,WH003,,Sale,-22,50.6,0
TXN00865,2023-01-01,PRD004,WH002,SUP002,Purchase,379,87.42,0
TXN00869,2023-01-01,PRD004,WH001,,Sale,-19,140.0,0
TXN01755,2023-01-01,PRD007,WH003,SUP002,Purchase,359,54.93,0
TXN01759,2023-01-01,PRD007,WH002,SUP002,Purchase,401,56.59,0
TXN02073,2023-01-01,PRD008,WH003,,Sale,-11,98.42,0
TXN02620,2023-01-01,PRD010,WH001,SUP005,Purchase,949,14.89,0
TXN02622,2023-01-01,PRD010,WH003,SUP005,Purchase,502,15.01,0
TXN03209,2023-01-01,PRD012,WH003,SUP001,Purchase,282,93.91,0
TXN03218,2023-01-01,PRD012,WH003,,Sale,-33,138.27,0
TXN03820,2023-01-01,PRD014,WH001,,Sale,-32,99.32,0
TXN04989,2023-01-01,PRD018,WH001,SUP004,Purchase,452,192.58,0
TXN05294,2023-01-01,PRD019,WH002,SUP007,Purchase,889,57.59,0
TXN05594,2023-01-01,PRD020,WH001,,Sale,-99,36.5,0
TXN05597,2023-01-01,PRD020,WH002,,Sale,-130,36.26,0
TXN05872,2023-01-01,PRD021,WH003,SUP004,Purchase,353,17.32,0
TXN06158,2023-01-01,PRD022,WH001,SUP010,Purchase,1328,11.94,0
TXN06160,2023-01-01,PRD022,WH003,SUP010,Purchase,753,11.76,0
TXN06451,2023-01-01,PRD023,WH002,SUP006,Purchase,760,14.05,0
TXN06452,2023-01-01,PRD023,WH003,SUP006,Purchase,515,14.0,0
TXN06457,2023-01-01,PRD023,WH002,,Sale,-185,21.01,0
TXN06460,2023-01-01,PRD023,WH003,,Sale,-32,23.09,0
TXN06730,2023-01-01,PRD024,WH002,SUP006,Purchase,167,276.83,0
TXN07052,2023-01-01,PRD025,WH003,,Sale,-8,129.03,0
TXN07333,2023-01-01,PRD026,WH002,SUP010,Purchase,338,35.55,0
TXN07335,2023-01-01,PRD026,WH001,SUP010,Purchase,381,35.27,0
TXN07342,2023-01-01,PRD026,WH002,,Sale,-37,53.58,0
TXN07917,2023-01-01,PRD028,WH003,SUP006,Purchase,109,185.15,0
TXN08205,2023-01-01,PRD029,WH001,SUP008,Purchase,551,83.16,0
TXN08208,2023-01-01,PRD029,WH002,SUP008,Purchase,295,76.88,0
TXN08209,2023-01-01,PRD029,WH002,,Sale,-41,122.69,0
TXN08214,2023-01-01,PRD029,WH003,,Sale,-17,125.51,0
TXN08773,2023-01-01,PRD031,WH003,SUP009,Purchase,10,177.21,0
TXN08854,2023-01-01,PRD032,WH001,,Sale,-1,349.76,0
TXN08856,2023-01-01,PRD032,WH001,,Sale,-1,352.8,0
TXN08859,2023-01-01,PRD032,WH002,,Sale,-1,360.47,0
TXN09036,2023-01-01,PRD034,WH003,SUP008,Purchase,10,353.8,0
TXN09050,2023-01-01,PRD034,WH003,,Sale,-1,533.56,0
TXN09125,2023-01-01,PRD035,WH001,SUP009,Purchase,10,487.56,0
TXN00002,2023-01-02,PRD001,WH002,SUP001,Purchase,802,18.26,0
TXN00013,2023-01-02,PRD001,WH003,SUP001,Purchase,465,18.07,0
TXN00014,2023-01-02,PRD001,WH003,,Sale,-45,28.45,0
TXN00284,2023-01-02,PRD002,WH001,SUP001,Purchase,950,32.25,0
TXN00579,2023-01-02,PRD003,WH002,SUP001,Purchase,346,84.89,0
TXN01166,2023-01-02,PRD005,WH003,SUP002,Purchase,402,45.61,0
TXN01461,2023-01-02,PRD006,WH002,SUP002,Purchase,147,94.53,0
TXN01763,2023-01-02,PRD007,WH003,,Sale,-42,85.13,0
TXN02059,2023-01-02,PRD008,WH003,SUP003,Purchase,0,58.96,1
TXN02351,2023-01-02,PRD009,WH002,,Sale,-123,19.48,0
TXN02621,2023-01-02,PRD010,WH002,SUP005,Purchase,920,14.75,0
TXN02634,2023-01-02,PRD010,WH003,SUP005,Purchase,400,15.46,0
TXN02635,2023-01-02,PRD010,WH003,,Sale,-58,25.22,0
TXN02914,2023-01-02,PRD011,WH003,SUP001,Purchase,440,37.02,0
TXN02927,2023-01-02,PRD011,WH003,,Sale,-18,58.44,0
TXN03511,2023-01-02,PRD013,WH001,SUP002,Purchase,903,22.47,0
TXN03512,2023-01-02,PRD013,WH002,SUP002,Purchase,657,21.77,0
TXN03528,2023-01-02,PRD013,WH003,,Sale,-31,35.98,0
TXN03821,2023-01-02,PRD014,WH001,,Sale,-34,99.6,0
TXN04119,2023-01-02,PRD015,WH001,SUP003,Purchase,692,30.54,0
TXN04120,2023-01-02,PRD015,WH002,SUP003,Purchase,556,30.34,0
TXN04411,2023-01-02,PRD016,WH002,SUP002,Purchase,114,116.19,0
TXN04694,2023-01-02,PRD017,WH001,SUP004,Purchase,663,132.86,0
TXN04696,2023-01-02,PRD017,WH003,SUP004,Purchase,240,128.13,0
TXN05295,2023-01-02,PRD019,WH003,SUP007,Purchase,497,56.55,0
TXN05298,2023-01-02,PRD019,WH001,,Sale,-147,74.56,0
TXN05303,2023-01-02,PRD019,WH003,SUP007,Purchase,274,56.09,0
TXN05588,2023-01-02,PRD020,WH002,SUP003,Purchase,893,24.35,0
TXN05589,2023-01-02,PRD020,WH003,SUP003,Purchase,623,25.53,0
TXN05863,2023-01-02,PRD021,WH002,SUP004,Purchase,741,17.51,0
TXN05876,2023-01-02,PRD021,WH003,,Sale,-25,28.68,0
TXN06161,2023-01-02,PRD022,WH001,SUP010,Purchase,1104,12.06,0
TXN06170,2023-01-02,PRD022,WH003,,Sale,-88,19.23,0
TXN06450,2023-01-02,PRD023,WH001,SUP006,Purchase,1158,14.4,0
TXN06453,2023-01-02,PRD023,WH001,SUP006,Purchase,938,14.26,0
TXN06456,2023-01-02,PRD023,WH002,SUP006,Purchase,624,14.47,0
TXN06732,2023-01-02,PRD024,WH001,SUP006,Purchase,209,285.66,0
TXN06736,2023-01-02,PRD024,WH002,SUP006,Purchase,172,285.46,0
TXN07036,2023-01-02,PRD025,WH001,SUP006,Purchase,312,97.31,0
TXN07628,2023-01-02,PRD027,WH002,SUP009,Purchase,135,152.23,0
TXN08771,2023-01-02,PRD031,WH001,SUP009,Purchase,10,184.8,0
TXN08772,2023-01-02,PRD031,WH002,SUP009,Purchase,10,180.82,0
TXN08857,2023-01-02,PRD032,WH002,SUP009,Purchase,5,216.03,0
TXN08937,2023-01-02,PRD033,WH002,SUP009,Purchase,10,858.9,0
TXN08943,2023-01-02,PRD033,WH002,SUP009,Purchase,5,850.0,0
TXN08949,2023-01-02,PRD033,WH003,SUP009,Purchase,5,881.81,0
TXN09137,2023-01-02,PRD035,WH003,SUP009,Purchase,5,477.29,0
TXN00008,2023-01-03,PRD001,WH002,SUP001,Purchase,758,18.29,0
TXN00015,2023-01-03,PRD001,WH003,,Sale,-46,28.99,0
TXN00293,2023-01-03,PRD002,WH002,SUP001,Purchase,620,32.65,0
TXN00300,2023-01-03,PRD002,WH003,,Sale,-20,50.68,0
TXN00578,2023-01-03,PRD003,WH001,SUP001,Purchase,615,85.58,0
TXN01165,2023-01-03,PRD005,WH002,SUP002,Purchase,814,45.46,0
TXN01179,2023-01-03,PRD005,WH003,,Sale,-32,71.59,0
TXN01467,2023-01-03,PRD006,WH002,SUP002,Purchase,97,96.19,0
TXN01754,2023-01-03,PRD007,WH002,SUP002,Purchase,425,54.14,0
TXN02058,2023-01-03,PRD008,WH002,SUP003,Purchase,222,59.43,0
TXN02068,2023-01-03,PRD008,WH003,SUP003,Purchase,95,60.72,0
TXN02340,2023-01-03,PRD009,WH002,SUP005,Purchase,1412,12.06,0
TXN02342,2023-01-03,PRD009,WH001,SUP005,Purchase,976,11.95,0
TXN02345,2023-01-03,PRD009,WH001,,Sale,-77,19.58,0
TXN02348,2023-01-03,PRD009,WH002,SUP005,Purchase,1064,11.92,0
TXN02628,2023-01-03,PRD010,WH002,SUP005,Purchase,537,14.7,0
TXN02912,2023-01-03,PRD011,WH001,SUP001,Purchase,727,37.74,0
TXN03208,2023-01-03,PRD012,WH002,SUP001,Purchase,676,94.92,0
TXN03210,2023-01-03,PRD012,WH001,SUP001,Purchase,515,95.27,0
TXN03818,2023-01-03,PRD014,WH001,SUP002,Purchase,200,63.89,0
TXN04709,2023-01-03,PRD017,WH003,,Sale,-25,182.46,0
TXN05001,2023-01-03,PRD018,WH003,SUP004,Purchase,197,199.22,0
TXN05590,2023-01-03,PRD020,WH001,SUP003,Purchase,774,25.56,0
TXN05865,2023-01-03,PRD021,WH001,SUP004,Purchase,711,17.36,0
